date,weekday,time,slot,week,status,topic,asset
2026-09-07,Mon,09:00,"Source 20 listings, log to tracker.csv",1,planned,,
2026-09-08,Tue,09:00,"Free samples 1-3 (20 min each, then send)",1,planned,,
2026-09-09,Wed,09:00,"Publish teardown #1 (anonymized, method-first)",1,planned,,
2026-09-10,Thu,09:00,Free samples 4-5 + broker outreach x3,1,planned,,
2026-09-11,Fri,09:00,Follow-ups (one only) + score tracker vs kill criteria,1,planned,,
2026-09-14,Mon,09:00,"Source 20 listings, log to tracker.csv",2,planned,,
2026-09-15,Tue,09:00,"Free samples 1-3 (20 min each, then send)",2,planned,,
2026-09-16,Wed,09:00,"Publish teardown #1 (anonymized, method-first)",2,planned,,
2026-09-17,Thu,09:00,Free samples 4-5 + broker outreach x3,2,planned,,
2026-09-18,Fri,09:00,Follow-ups (one only) + score tracker vs kill criteria,2,planned,,
