month,sessions
2023-01-01,40099
2023-02-01,41063
2023-03-01,44737
2023-04-01,42891
2023-05-01,46052
2023-06-01,44965
2023-07-01,49357
2023-08-01,46191
2023-09-01,51404
2023-10-01,52100
2023-11-01,53001
2023-12-01,52000
2024-01-01,51201
2024-02-01,54465
2024-03-01,54896
2024-04-01,56364
2024-05-01,54221
2024-06-01,57056
2024-07-01,60518
2024-08-01,59059
2024-09-01,60280
2024-10-01,59148
2024-11-01,63934
2024-12-01,64256
2025-01-01,62742
2025-02-01,32207
2025-03-01,35358
2025-04-01,33713
2025-05-01,33230
2025-06-01,35680
2025-07-01,37836
2025-08-01,36759
2025-09-01,35157
2025-10-01,36966
